id,movie,rank
3292879998,The Phantom Menace,3
3292879998,Attack of the Clones,2
3292879998,Revenge of the Sith,1
3292879998,A New Hope,4
3292879998,The Empire Strikes Back,5
3292879998,Return of the Jedi,6
3292763116,The Phantom Menace,5
3292763116,Attack of the Clones,6
3292763116,Revenge of the Sith,1
3292763116,A New Hope,2
3292763116,The Empire Strikes Back,4
3292763116,Return of the Jedi,3
3292731220,The Phantom Menace,5
3292731220,Attack of the Clones,4
3292731220,Revenge of the Sith,6
3292731220,A New Hope,2
3292731220,The Empire Strikes Back,1
3292731220,Return of the Jedi,3
3292719380,The Phantom Menace,1
3292719380,Attack of the Clones,4
3292719380,Revenge of the Sith,3
3292719380,A New Hope,6
3292719380,The Empire Strikes Back,5
3292719380,Return of the Jedi,2
3292684787,The Phantom Menace,6
3292684787,Attack of the Clones,5
3292684787,Revenge of the Sith,4
3292684787,A New Hope,3
3292684787,The Empire Strikes Back,1
3292684787,Return of the Jedi,2
3292663732,The Phantom Menace,4
3292663732,Attack of the Clones,5
3292663732,Revenge of the Sith,6
3292663732,A New Hope,3
3292663732,The Empire Strikes Back,2
3292663732,Return of the Jedi,1
3292654043,The Phantom Menace,5
3292654043,Attack of the Clones,4
3292654043,Revenge of the Sith,6
3292654043,A New Hope,2
3292654043,The Empire Strikes Back,1
3292654043,Return of the Jedi,3
3292609214,The Phantom Menace,3
3292609214,Attack of the Clones,4
3292609214,Revenge of the Sith,5
3292609214,A New Hope,6
3292609214,The Empire Strikes Back,1
3292609214,Return of the Jedi,2
3292596911,The Phantom Menace,4
3292596911,Attack of the Clones,5
3292596911,Revenge of the Sith,6
3292596911,A New Hope,2
3292596911,The Empire Strikes Back,3
3292596911,Return of the Jedi,1
3292587240,The Phantom Menace,4
3292587240,Attack of the Clones,2
3292587240,Revenge of the Sith,5
3292587240,A New Hope,3
3292587240,The Empire Strikes Back,1
3292587240,Return of the Jedi,6
3292583038,The Phantom Menace,4
3292583038,Attack of the Clones,6
3292583038,Revenge of the Sith,5
3292583038,A New Hope,3
3292583038,The Empire Strikes Back,1
3292583038,Return of the Jedi,2
3292565282,The Phantom Menace,6
3292565282,Attack of the Clones,5
3292565282,Revenge of the Sith,2
3292565282,A New Hope,3
3292565282,The Empire Strikes Back,1
3292565282,Return of the Jedi,4
3292562297,The Phantom Menace,6
3292562297,Attack of the Clones,5
3292562297,Revenge of the Sith,1
3292562297,A New Hope,4
3292562297,The Empire Strikes Back,3
3292562297,Return of the Jedi,2
3292522349,The Phantom Menace,6
3292522349,Attack of the Clones,5
3292522349,Revenge of the Sith,4
3292522349,A New Hope,1
3292522349,The Empire Strikes Back,2
3292522349,Return of the Jedi,3
3292511801,The Phantom Menace,6
3292511801,Attack of the Clones,5
3292511801,Revenge of the Sith,4
3292511801,A New Hope,3
3292511801,The Empire Strikes Back,1
3292511801,Return of the Jedi,2
3292483200,The Phantom Menace,6
3292483200,Attack of the Clones,1
3292483200,Revenge of the Sith,4
3292483200,A New Hope,2
3292483200,The Empire Strikes Back,3
3292483200,Return of the Jedi,5
3292465491,The Phantom Menace,1
3292465491,Attack of the Clones,2
3292465491,Revenge of the Sith,6
3292465491,A New Hope,3
3292465491,The Empire Strikes Back,4
3292465491,Return of the Jedi,5
3292420123,The Phantom Menace,4
3292420123,Attack of the Clones,6
3292420123,Revenge of the Sith,5
3292420123,A New Hope,2
3292420123,The Empire Strikes Back,3
3292420123,Return of the Jedi,1
3292384040,The Phantom Menace,6
3292384040,Attack of the Clones,5
3292384040,Revenge of the Sith,4
3292384040,A New Hope,2
3292384040,The Empire Strikes Back,3
3292384040,Return of the Jedi,1
3292380493,The Phantom Menace,6
3292380493,Attack of the Clones,5
3292380493,Revenge of the Sith,4
3292380493,A New Hope,2
3292380493,The Empire Strikes Back,1
3292380493,Return of the Jedi,3
3292376985,The Phantom Menace,4
3292376985,Attack of the Clones,6
3292376985,Revenge of the Sith,5
3292376985,A New Hope,2
3292376985,The Empire Strikes Back,1
3292376985,Return of the Jedi,3
3292366792,The Phantom Menace,4
3292366792,Attack of the Clones,3
3292366792,Revenge of the Sith,5
3292366792,A New Hope,6
3292366792,The Empire Strikes Back,2
3292366792,Return of the Jedi,1
3292339379,The Phantom Menace,6
3292339379,Attack of the Clones,5
3292339379,Revenge of the Sith,4
3292339379,A New Hope,2
3292339379,The Empire Strikes Back,1
3292339379,Return of the Jedi,3
3292330840,The Phantom Menace,6
3292330840,Attack of the Clones,1
3292330840,Revenge of the Sith,2
3292330840,A New Hope,3
3292330840,The Empire Strikes Back,4
3292330840,Return of the Jedi,5
3292290677,The Phantom Menace,6
3292290677,Attack of the Clones,3
3292290677,Revenge of the Sith,4
3292290677,A New Hope,1
3292290677,The Empire Strikes Back,2
3292290677,Return of the Jedi,5
3292281095,The Phantom Menace,3
3292281095,Attack of the Clones,2
3292281095,Revenge of the Sith,1
3292281095,A New Hope,4
3292281095,The Empire Strikes Back,6
3292281095,Return of the Jedi,5
3292279889,The Phantom Menace,2
3292279889,Attack of the Clones,4
3292279889,Revenge of the Sith,5
3292279889,A New Hope,1
3292279889,The Empire Strikes Back,6
3292279889,Return of the Jedi,3
3292264069,The Phantom Menace,6
3292264069,Attack of the Clones,3
